TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
106886673,1629.97,67.57,11.50510064,0.0425945033303891,0.2327869999999995,0.2015489907612491,-0.0733609399999995,0.0711595500705983,0.0931994200000007,0.0117987612809142,0.066213,0.00984659,0.11189854327994,0.1020895789859667,11.6852,8179.0,146.166,3.60256,0.188631,2.0,0.306466,[]
187971301,872.875,27.543,9.0905116,0.1434330942008047,-0.1890950000000005,0.1540560097716489,0.0018938999999999,0.1526372743377252,-0.1463126999999996,0.0111490462151343,0.283095,0.00851818,0.2204908007315722,0.1528191849379284,9.86053,13677.0,131.0,,,,,[]
156474653,630.203,11.3455,10.654917888,0.0207419314966181,0.2938153999999996,0.0724609612398678,0.0141098519999989,0.0502507656089934,0.1635381640000008,0.0087264523476041,0.0241846,0.006194125,0.1292186459647047,0.1013376581675152,10.7207,7601.0,134.599,2.32492,0.0847614,1.77,0.289393,[]
306107122,275.591,3.255,9.046557152,0.0304764715964971,0.5706791000000013,0.0396903467768297,0.1418480579999996,0.0633831994159532,0.3776782059999994,0.0089740564597078,0.0263209,0.01010575,0.0738342924129708,0.0659448412256305,9.11815,6119.0,134.979,3.25871,0.153806,1.15,0.160351,[]
317050129,5730.69,2768.67,-16.5599312,7.668753054664429,,,,,-6.039493600000002,1.4511133231361537,9.60196,2.198525,0.0767180238750188,0.0987761089679109,9.5574,,,,,,,"['DISPOSITION=DUPLICATE', 'DROP_GAIA_VMAG']"
232446839,3181.5,418.97,11.06671728,0.1442452155388427,-0.288501,0.3112849003422308,0.1391296199999992,0.1630073905540788,0.0090093400000001,0.0261764570075149,0.256501,0.02427135,0.3234424849178891,0.3180965279973592,11.7644,9132.0,127.0,7.35206,,,,[]
450015104,180.024,180.024,4.7443100000000005,2.765576345813112,-0.9660000000000002,1.118528050609371,-0.4433100000000004,0.794066448429223,-0.6669900000000001,0.6600466078399313,1.0,1.0,0.0123030889244807,0.0076926321436023,7.46431,,,,,,,['GUESS_EBV']
240918551,2107.06,213.88,11.4293848,0.0991051118525341,-0.2130350000000002,0.2411367136749048,-0.0635932999999996,0.1155142040194624,-0.0913831000000009,0.012148087629233,0.191035,0.009711945,0.0719704728518787,0.0890393733337212,11.949,11171.0,361.783,3.28147,0.330658,2.92,0.385911,[]
75751455,1284.81,48.105,9.40709344,0.2144713558102465,0.2209020000000007,0.2532596073476582,0.4134027600000003,0.2235027645131039,0.4244153199999994,0.0144001010098847,0.422098,0.0140267,0.0052778013051651,0.0049530352500722,10.5552,5815.0,122.0,14.3342,,,,[]
271554988,343.828,2.79,9.24527352,0.0630232287395343,0.2011409999999995,0.0726963263561103,-0.0182364200000007,0.0838269335908811,0.1244230600000013,0.0088948879839342,0.113859,0.00993921,0.0224699325118414,0.0039011461734293,9.55497,7917.0,135.857,2.26578,0.0621809,1.9,0.296451,[]
390334189,414.6,414.6,9.0771,2.765574163095975,-0.677999999999999,1.1395858896985342,-0.2461000000000012,0.7938869261954123,-0.2830999999999991,0.6600276142586763,1.0,1.0,0.2154019781877491,0.2028662807241847,11.7971,,,,,,,['GUESS_EBV']
369033532,1035.28,31.445,10.91952864,0.3129957795718273,0.4980620000000002,0.3237875324360714,0.1479635600000005,0.3332072900417996,0.3486209200000006,0.0202248282647201,0.616938,0.0194998,0.3386234514350514,0.3695005117131452,12.5976,6307.0,158.193,4.85243,0.25412,1.24,0.186131,[]
